sample_accession	run_accession	fastq_ftp	sample_title
SAMEA4470751	ERR1662533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662533/ERR1662533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662533/ERR1662533_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470752	ERR1662534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662534/ERR1662534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662534/ERR1662534_2.fastq.gz	D. melanogaster control 5
SAMEA4470753	ERR1662535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662535/ERR1662535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662535/ERR1662535_2.fastq.gz	D.sechellia control 50
SAMEA4470754	ERR1662536	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662536/ERR1662536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662536/ERR1662536_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470755	ERR1662537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662537/ERR1662537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662537/ERR1662537_2.fastq.gz	D. simulans control 50
SAMEA4470756	ERR1662538	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662538/ERR1662538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662538/ERR1662538_2.fastq.gz	D.sechellia parasitized 50
SAMEA4470757	ERR1662539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662539/ERR1662539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662539/ERR1662539_2.fastq.gz	D. simulans parasitized 50
SAMEA4470758	ERR1662540	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662540/ERR1662540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662540/ERR1662540_2.fastq.gz	D. melanogaster control 50
SAMEA4470759	ERR1662541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662541/ERR1662541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662541/ERR1662541_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470760	ERR1662542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662542/ERR1662542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662542/ERR1662542_2.fastq.gz	D. melanogaster control 50
SAMEA4470761	ERR1662543	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662543/ERR1662543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662543/ERR1662543_2.fastq.gz	D. yakuba parasitized 50
